id	untrt_N61311	untrt_N052611	untrt_N080611	untrt_N061011	trt_N61311	trt_N052611	trt_N080611	trt_N061011
MFGE8	4361.83291788063	5724.59864018465	6975.45191149469	6107.80964519551	12127.5425083542	12838.5360948494	13592.496996725	14276.2388708427
SQSTM1	25753.3089119079	16624.5669119296	20254.0146593757	20819.9105921591	16223.803885788	13014.937588128	12016.8309928075	13429.8298766001
ATP2A2	6522.90163177823	6259.27107458207	5497.12472866366	5291.380017645	12667.4742881103	14796.2590332193	21869.5712657312	11764.1268804671
TAGLN	4236.23792985662	10095.4117824764	6959.03506989147	7615.53515189868	9140.22089931247	23955.5159882778	24591.4479067386	14101.4734281485
LUM	11454.5306111356	17505.4669122928	19110.5103003014	21597.4712210453	5250.73932488057	11771.8747909265	10407.4970360368	11949.3193110545
TUBA1A	13934.8570570859	12403.815096879	11789.5397031844	8555.88042357063	5765.18611842269	4073.7977877489	6068.56215097948	3456.40179349462
TPM2	10210.6405295657	17000.734704613	14643.1571518191	13594.2103556303	19121.8255630539	27533.1159197123	29660.5206928235	18328.5719464924
CYBRD1	22263.820304052	27707.3424909313	33124.5763154135	30678.2039311606	24642.468644668	34788.4907322514	34706.4124036901	38708.8117335487
CALU	19072.7533282293	28953.9357444014	26337.5088048349	23249.9287932794	20733.2346101135	28594.2207283396	29125.2543959189	24130.6669186573
GPNMB	32528.2249901403	29174.6817681859	29856.3671518672	28409.8513345244	21828.7541980044	24474.9829516795	22093.7246362446	22914.3898550732
TGFBI	6251.78041279781	11294.5502117226	19443.3462502759	13091.4447747837	3435.99551627879	10277.4621724678	15829.1410524552	10018.0160148312
CALR	28215.8649982301	21316.6115787052	19266.9730473857	17158.7264643335	23810.8520426516	16976.9165702386	27162.5008881594	12317.0944831396
EEF1G	37010.5123558075	32237.0880321188	32827.6614810484	28793.0943351688	38667.5318720486	27709.8954938631	31079.7658799655	26809.7872193628
MT-RNR1	8272.35650433106	14394.2417629318	27141.2108310263	9377.96223168565	8294.00538217808	13608.4014325486	19960.6505158553	10829.3577481799
AKR1C1	7296.58785076079	7699.40852813085	12060.5060445718	6993.8953162846	22407.1090071623	14043.5874415143	9628.39418923623	22015.5284950866
VAT1	15697.7377779333	15091.1171353408	12215.6101250461	15782.4087718025	8347.06801863931	11181.5687397689	7867.37888093173	11525.1863715704
LTBP2	38257.6946679419	34002.1467533854	24479.4494492676	31479.0716189298	30005.1031903723	24870.7814753813	27055.5293978548	28343.9840813242
PTGIS	11181.7680240433	16958.5115844409	5217.64335123946	15768.0184556815	7943.87569767403	10443.4105106658	3428.09366187016	9316.7670421134
CD248	17979.9700011048	16813.2358272701	13287.1763959072	15123.6084038246	17028.898478973	8804.84351959964	6492.15219529976	7598.14237617359
FBN1	54269.3945719825	70913.6574308192	65716.3565701303	62171.9429204369	72939.8002126805	62414.7629071141	59142.9165080832	65287.9063795022
LOX	9146.27548741477	17152.7449518534	10587.4190183985	12685.4620766764	10673.8712515139	20688.1085068287	14526.7591840275	18634.9321579264
CLIC4	13093.8293337092	13576.3356236155	10046.7475280081	14009.1214100728	18659.6730628871	26004.9726138999	19618.3701070714	24364.7959835943
PRELP	11066.722138565	17584.4400489425	10015.174097151	15142.3359705921	8295.76798062124	19406.6725439489	12410.2730333276	16181.9917813081
SPON2	13541.7761239041	6725.72453945542	15104.4283541637	10014.5506882431	9631.7822234972	3552.86110529573	5120.84971666311	4802.79533676667
MT-ND2	25141.1739679418	27855.9873748801	32940.7727356598	24805.6598595766	29468.0471884572	39402.0687480147	31519.5874074442	27194.8992223599
NEXN	1849.87968438302	2486.6607865112	1993.4845434802	2571.83293272301	8686.96107655894	10181.6969675415	7640.474395852	9243.46968666327
MYOF	11489.5793919738	13034.0755813351	16315.1081588804	16378.5180042678	12538.7107369896	15563.5613520738	20124.4495314982	23581.6461449095
SEPT11	16888.0765264836	21561.978950121	27298.9674206199	24151.2146641133	21053.4783221877	17092.1368324681	33155.3885304969	23587.0130052918
ANTXR1	10890.6953864005	13775.3357201625	20310.0751141609	11183.5852445966	10982.526024343	14782.2395090793	19431.050753671	14640.263384304
ACTN4	9786.15526648699	11431.2992472668	9750.0501517729	9422.23476506623	13965.6348664461	16531.3930648793	24656.7789276826	16912.4775726199
UBC	24673.4607092999	24014.9620664747	29297.3174170611	29394.379402637	31493.0963390575	35222.2584400326	30026.8396137998	34128.8583445391
SELENOP	15465.897195603	15083.6246258134	12055.0850426238	16568.1927953197	19603.399230867	20654.442407983	13527.949522286	21514.9621140692
PSAP	46766.5380342068	43764.5173396022	37708.6771003377	41395.1120439484	45838.4481770822	39817.8206077175	34470.0448923546	41647.2035807432
C1S	49933.7450953828	45893.8793597308	43897.0602891677	47525.8638641476	53585.7082486012	48028.7385570407	43548.455484	52313.4882106374
CTSB	23312.332794547	24780.8609652574	34891.8056761023	19566.6540852452	27886.7160741438	28578.7885206564	38455.679061172	23341.4167971552
COL12A1	42159.7881404613	54130.4119679185	49751.8115975324	40326.9004436454	37625.5430625415	46681.7919603207	39878.5905695545	38957.8483563057
BDKRB2	9156.3764894878	8535.39421414892	12771.6118638504	8336.94778912514	3432.13945333812	1488.64884356215	3504.86173606248	1475.42246600613
DKK3	12095.487991343	17455.0780765997	16381.647576961	17419.3488587024	13149.2322727034	20617.2757040668	19974.6827672633	22090.7292928066
PDE5A	8646.13368408485	12990.9715517154	8139.12649030077	10887.8844656383	3617.27183010611	6283.70699010449	4056.62832340901	4671.76211720023
RPS6KA2	7162.37951842173	7989.41312282309	9063.96511002558	6734.40796684202	12853.3195876603	11635.1308070931	18714.6799235803	14822.2607346494
MYL9	9647.3256308896	17533.8292560186	14702.305526535	11885.5629897492	13563.1750730906	22951.1488933429	24453.9004837633	16212.4275583594
FP671120.3	18470.8471320439	13003.0097869726	17090.4559779135	11514.2258203931	6490.54323922909	13232.9028011886	14844.8977167356	27083.5682340919
IGSF10	10830.8042643566	9219.83942659691	3693.49182001279	10827.8653551328	4216.41103215599	6577.54278824887	1782.45980259461	5411.36467452638
PDGFRA	17133.353482311	20600.7898846046	16026.4893382322	20296.7659370667	20153.8876182597	34741.7182602024	22635.7543391718	35102.7417833332
THY1	6533.5673483347	12034.3842321132	16325.1795708176	9266.45783215611	5084.86811745472	9698.02598105365	15376.3967990426	7571.52057275159
RPS2	25613.3963383999	20374.7629450686	21622.4471661928	17610.0242917198	27971.6955825429	17371.9948335891	20525.6970928494	17868.9140815302
TJP2	1769.07354279721	3133.47163989181	2089.69948537366	2033.7715068743	6065.19422873682	12769.9526036489	7529.76209261752	10408.9952614014
ITM2B	11030.7754741775	13225.0261347882	11621.1811558533	13653.780682502	17086.357606664	19285.8121513638	14389.1800562821	20644.1379804988
CDKN1A	14406.1316155859	8380.74803017321	10923.7453182035	8581.87125878231	7276.54738879282	4120.86899416695	5556.33433981136	4479.15674971777
CPD	4377.17925862933	7035.3521158856	6266.13941948647	7739.7730977816	4965.71693259647	10360.8753584232	10317.0029243831	10603.7269513573
MYL6	7666.93882061261	11900.3908332041	9925.45932586212	9168.25495794671	12536.9537272635	16199.2843454558	17804.5723941954	13082.2895891988
RPLP0	54998.0664247485	38585.4796323237	33160.6503594158	34132.3977292842	62873.9409420634	33721.1578350013	31612.3223783485	35957.2221251093
RPL9P9	13926.6485565107	11071.3113437477	5758.61162679298	9081.2919197268	15098.9559201302	10444.779140585	5533.74589116327	9034.90319727095
USP53	1809.54006087704	3649.55330074516	1229.64730257428	4236.7298406875	9724.46834941178	21140.1097093006	4095.70919070325	24054.2767095489
FBLN2	21435.6057581982	22203.1862859366	14270.3576005337	23232.7074697053	18026.0309668482	19050.494081531	13751.9649714706	23291.6691433813
CITED2	3264.08252130191	3965.90041800093	3124.66411977117	4439.77174158637	9063.15045171777	10711.1133303484	7155.35993299906	17338.6185370276
AKAP2	4507.08738861651	5535.90182244319	5369.23458620049	3632.58900777092	8132.68836076875	10043.4524545486	13815.5670717446	9682.35047930105
NID2	4296.22810188082	8063.14342638642	7128.76821967608	4733.20273314478	4721.36606022651	11481.7528619465	11192.9383062001	7477.41669228347
ELN	4568.80872760886	6902.4510291258	2400.2171588815	6497.86892070836	9719.40473459851	9954.97577317126	4616.66429476804	15210.2613570087
HSPA8	17875.9835170922	22447.6078097647	29582.8161145725	18527.9553952441	15440.9100910987	18184.5349335443	23009.9524123944	16149.7667300339
HSPA5	16477.0247760596	16661.8281617674	14091.1088108066	11520.5074888416	15240.0179503514	11541.5387534821	29398.0276594023	8254.13729570348
LTBP4	33072.8750522859	29438.9440146223	27286.4930022042	26209.0754505393	30248.1171460976	24862.0847893166	24296.5442440511	24093.6114460259
IGF2	4118.1924121751	10625.4432048202	6984.63693172903	2888.9182235128	5044.57470480171	10162.6153261874	14624.0440725533	4051.0017572636
MT-ND1	24241.3644886883	28729.2759138122	31275.2218087082	29388.2713418765	33081.0752866616	40695.7872456201	27503.8766047395	32630.086485617
AOX1	1349.26076255077	2208.40264818383	3793.38548607312	2041.43530413472	5656.66582859965	5482.95605762253	7415.8504758523	7345.77378849532
CAV1	8123.24873570876	8972.72890916094	11236.5201585082	10303.9939069709	13896.3057979686	14855.9215805899	11479.6689505513	18974.9141999744
MYADM	2538.719495606	3163.12284092772	2126.83509936982	3468.076313374	6227.85716309952	7448.01245279541	8997.28666810509	8350.14923167293
LMOD1	2854.87461326545	5619.14468209538	3612.88884881497	4643.91530509773	6809.27707294674	12915.837974125	8520.90593991626	9440.93825128628
PEAK1	5333.55204160402	5450.61068448016	4582.04395513032	5624.12222171838	10839.4375325336	9338.55192822995	10220.2660024685	13489.1046321192
SERPINE2	8357.19880381663	18886.4237173905	9359.22380593039	9356.84380067943	4407.95000112427	12066.016622017	6447.09287097072	6430.40655093804
B2M	23141.7533449052	29713.2127880463	32883.4856032294	26490.3453528182	21500.3606456683	27939.8794285792	25871.4979668425	25035.9387901931
PAPPA	6307.90504325658	5028.69233043705	11729.4717877412	3062.76091239621	9075.31105742638	4188.73089624118	19241.3931592949	5729.16489159602
HSP90B1	19884.970433584	20528.9760768617	17603.7671906556	15490.5303046771	16558.5469976646	15121.1462595557	24510.7053771365	11554.4814830913
ZYX	7387.69737335277	7692.28980869961	6273.7257868181	6628.4700387093	12531.4872308036	11371.8641043395	12012.5749945003	10432.8297085397
PKM	25720.0243633471	24115.8516158482	25564.1199815865	20971.290853397	20126.7204505466	19404.2119553326	23169.0722469778	14314.1976310532
RPL13A	40147.5933789393	33080.3158906681	31017.907814168	30467.2763409793	45074.4912140898	28376.23756892	28625.0417749893	27497.1956825558
NBL1	9492.87106498575	9677.23224192001	9539.53021942324	7217.70023597801	16899.0333166875	14175.5501899177	11810.8021670767	16434.1245736818
CNN2	6269.82090369925	7960.02680640334	6604.1690085246	7488.54267074328	9575.54798445669	12664.4770851386	15091.5724729806	11618.8875303743
RPS4X	17192.5245711902	15854.2325271276	13951.77727205	20349.3788119828	18244.3150941496	14442.9036063827	12769.036780489	19578.2801269477
RPL12	16941.3332591923	13838.5230006434	15726.3520026074	11644.4810370113	17105.5572231034	11074.4918069904	13524.9172669325	10820.1637220347
ADAMTS5	573.104863201665	2461.49465428859	1623.2165667726	849.287896370968	5530.8219211831	8436.28751851295	3604.1083892527	7297.30387698793
CD44	19554.1489350791	24682.5200438906	25532.1008120614	27356.4173284581	13408.535503968	20889.73401114	23157.7266945461	24418.2970221557
HSP90AA1	15676.3279152049	17571.9670100526	20645.7565472543	15143.3018428563	12356.3607519316	12941.012253151	15290.1981510142	12436.0506862277
CCND1	11465.6732610062	16868.3136536052	13911.9700313181	15790.1499199291	8992.44654254184	17850.6163425903	18244.0618220427	14328.5345580226
MT2A	1727.11183151303	1120.22274102023	1106.11909663286	1300.20333144126	6816.40007827107	6078.41611331108	6263.54930908923	5077.09061419837
FAM198B	4410.34886221669	4767.86298275207	4926.27536191487	4420.61136144753	9234.75736401376	9070.4200182614	8811.09973354972	10240.9081566745
RAD23B	5713.19537879418	10312.054439947	7922.60278195019	5618.59099479148	7301.36572394872	10985.1791076078	14056.9993652676	7940.23459875154
SORT1	1396.44107851436	2471.9027351833	2134.04641348083	1730.32683377914	5182.10999863725	11309.2747267661	10618.0521515976	9463.33567832121
RPS18	27030.8464211149	21227.7243743481	16571.4433743417	18527.5542281743	30714.360460086	18864.2600416871	16374.8301111953	17887.3692801041
TRAM1	8689.15932317209	12857.2343781949	12995.2789782127	9768.01661697866	12847.0614622862	17338.0230477274	22619.2623747163	14211.566424996
RPS6	28834.5422954309	24817.3206982506	23056.5443415981	21880.8789737525	33226.2786743486	22428.439793654	20423.2580470109	20042.2551973807
TIMP1	14719.0177246365	16143.109935625	19260.0700308164	19985.6427899723	9490.71771521002	16476.2231300629	16897.0037218192	13507.6255628404
SVIL	11088.2478526425	11705.6547493209	10283.4975734278	11097.7527612454	6833.96481263471	6698.75191974856	6697.75283399206	7546.47212078286
S100A6	26467.1520448547	24313.0489077806	18823.0051187904	24007.092916916	24487.1177869472	22273.031981263	17717.2046704487	20230.3692930098
ALDOA	19139.0847254039	19587.3216229195	18089.5115507422	15519.8990172631	16388.1123030021	13949.5658569826	22630.7014300993	14374.3436677154
RPL10	28513.0446670905	18503.9842485932	17636.5190146069	21328.7995966401	29707.916214358	18611.5309220268	20025.7375292408	21425.8055987743
POSTN	1692.77871756937	11395.1284494674	4501.82169972264	5896.86157263096	494.529797955	5190.22814082951	1045.73155079469	2863.69100878519
C3	7161.21959957672	12582.0792896836	4936.41993159803	9001.67138175301	7623.21959450096	11091.4475856009	4278.5205296786	9725.04761775567
